child_table,child_column,parent_table,parent_column,join_sql,source,fk_name,workstream,domain_name,join_type
D1_DVC,ACCESS_GRP_CD,CI_ACC_GRP_L,ACCESS_GRP_CD,D1_DVC.ACCESS_GRP_CD = CI_ACC_GRP_L.ACCESS_GRP_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,ARMING_REQ_FLG,CI_LOOKUP_VAL_L_1,FIELD_VALUE,D1_DVC.ARMING_REQ_FLG = CI_LOOKUP_VAL_L_1.FIELD_VALUE,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,BO_STATUS_CD,F1_BUS_OBJ_STATUS_L,BO_STATUS_CD,D1_DVC.BO_STATUS_CD = F1_BUS_OBJ_STATUS_L.BO_STATUS_CD,domain_join_inventory,,Meter Operations,Device___Domain,inner
D1_DVC,BO_STATUS_REASON_CD,F1_BUS_OBJ_STATUS_RSN_L,BO_STATUS_REASON_CD,D1_DVC.BO_STATUS_REASON_CD = F1_BUS_OBJ_STATUS_RSN_L.BO_STATUS_REASON_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,BUS_OBJ_CD,F1_BUS_OBJ_L,BUS_OBJ_CD,D1_DVC.BUS_OBJ_CD = F1_BUS_OBJ_L.BUS_OBJ_CD,domain_join_inventory,,Meter Operations,Device___Domain,inner
D1_DVC,BUS_OBJ_CD,F1_BUS_OBJ_STATUS_L,BUS_OBJ_CD,D1_DVC.BUS_OBJ_CD = F1_BUS_OBJ_STATUS_L.BUS_OBJ_CD,domain_join_inventory,,Meter Operations,Device___Domain,inner
D1_DVC,D1_CMD_SET_CD,D1_COMMAND_SET_L,D1_CMD_SET_CD,D1_DVC.D1_CMD_SET_CD = D1_COMMAND_SET_L.D1_CMD_SET_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,D1_DEVICE_ID,D1_DVC_CFG,D1_DEVICE_ID,D1_DVC.D1_DEVICE_ID = D1_DVC_CFG.D1_DEVICE_ID,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,D1_MODEL_CD,D1_MODEL_L,D1_MODEL_CD,D1_DVC.D1_MODEL_CD = D1_MODEL_L.D1_MODEL_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,D1_SPR_CD,D1_SPR_L,D1_SPR_CD,D1_DVC.D1_SPR_CD = D1_SPR_L.D1_SPR_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,DEVICE_TYPE_CD,D1_DVC_TYPE_L,DEVICE_TYPE_CD,D1_DVC.DEVICE_TYPE_CD = D1_DVC_TYPE_L.DEVICE_TYPE_CD,domain_join_inventory,,Meter Operations,Device___Domain,inner
D1_DVC,HEAD_END_REGISTR_STATUS_FLG,CI_LOOKUP_VAL_L_2,FIELD_VALUE,D1_DVC.HEAD_END_REGISTR_STATUS_FLG = CI_LOOKUP_VAL_L_2.FIELD_VALUE,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,IN_DATA_SHIFT_FLG,CI_LOOKUP_VAL_L,FIELD_VALUE,D1_DVC.IN_DATA_SHIFT_FLG = CI_LOOKUP_VAL_L.FIELD_VALUE,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,MANUFACTURER_CD,D1_MANUFACTURER_L,MANUFACTURER_CD,D1_DVC.MANUFACTURER_CD = D1_MANUFACTURER_L.MANUFACTURER_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC,MANUFACTURER_CD,D1_MODEL_L,MANUFACTURER_CD,D1_DVC.MANUFACTURER_CD = D1_MODEL_L.MANUFACTURER_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_1,D1_DEVICE_ID,D1_DVC_EVT,D1_DEVICE_ID,D1_DVC_1.D1_DEVICE_ID = D1_DVC_EVT.D1_DEVICE_ID,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,BO_STATUS_CD,F1_BUS_OBJ_STATUS_L_1,BO_STATUS_CD,D1_DVC_CFG.BO_STATUS_CD = F1_BUS_OBJ_STATUS_L_1.BO_STATUS_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,BO_STATUS_REASON_CD,F1_BUS_OBJ_STATUS_RSN_L_1,BO_STATUS_REASON_CD,D1_DVC_CFG.BO_STATUS_REASON_CD = F1_BUS_OBJ_STATUS_RSN_L_1.BO_STATUS_REASON_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,BUS_OBJ_CD,F1_BUS_OBJ_L_1,BUS_OBJ_CD,D1_DVC_CFG.BUS_OBJ_CD = F1_BUS_OBJ_L_1.BUS_OBJ_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,BUS_OBJ_CD,F1_BUS_OBJ_STATUS_L_1,BUS_OBJ_CD,D1_DVC_CFG.BUS_OBJ_CD = F1_BUS_OBJ_STATUS_L_1.BUS_OBJ_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,DEVICE_CONFIG_ID,D1_INSTALL_EVT,DEVICE_CONFIG_ID,D1_DVC_CFG.DEVICE_CONFIG_ID = D1_INSTALL_EVT.DEVICE_CONFIG_ID,domain_join_inventory,,Common,VEE_Exception___Domain,inner
D1_DVC_CFG,DEVICE_CONFIG_TYPE_CD,D1_DVC_CFG_TYPE_L,DEVICE_CONFIG_TYPE_CD,D1_DVC_CFG.DEVICE_CONFIG_TYPE_CD = D1_DVC_CFG_TYPE_L.DEVICE_CONFIG_TYPE_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
D1_DVC_CFG,TIME_ZONE_CD,CI_TIME_ZONE_L,TIME_ZONE_CD,D1_DVC_CFG.TIME_ZONE_CD = CI_TIME_ZONE_L.TIME_ZONE_CD,domain_join_inventory,,Meter Operations,Device___Domain,leftOuter
