table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
CI_INTV_PFRELTY,INTV_PF_REL_TYP_CD,CHAR,XC173P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PFRELTY_L,INTV_PF_REL_TYP_CD,CHAR,XC174P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PF_ALG,INTV_PF_TYP_CD,CHAR,XC192P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PF_K,INTV_PF_ID,CHAR,XM503P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PF_L,INTV_PF_ID,CHAR,XM207P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PF_TYP,INTV_PF_TYP_CD,CHAR,XC170P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_PF_TYP_L,INTV_PF_TYP_CD,CHAR,XC171P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_REG_ALG,INTV_REG_TYPE_CD,CHAR,XC410P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_REG_TYP,INTV_REG_TYPE_CD,CHAR,XC408P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_REG_TYP_L,INTV_REG_TYPE_CD,CHAR,XC409P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_VAL,INTV_VAL_SET_ID,CHAR,XT066P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_VAL_SET,BF_CD,CHAR,XT065S1,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_VAL_SET,INTV_VAL_SET_ID,CHAR,XT065P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_INTV_VAL_SET_K,INTV_VAL_SET_ID,CHAR,XT036P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM,BADGE_NBR,CHAR,XM120S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM,ITEM_ID,CHAR,XM120P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM,ITEM_TYPE_CD,VARCHAR2,XM120S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_CHAR,ITEM_ID,CHAR,XM119P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_CHAR,SRCH_CHAR_VAL,VARCHAR2,C1M006S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_EQ,ITEM_ID,CHAR,XM001P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_EQ,ITEM_ID_EQ,CHAR,XM001S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_K,ITEM_ID,CHAR,XM504P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_LOC_HIS,LOC_DTTM,DATE,XT273S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,Y,N,,HIGH,Primary candidate for mandatory rolling window pre-filter.
CI_ITEM_LOC_HIS,ITEM_ID,CHAR,XT273S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_LOC_HIS,ITEM_LOC_HIST_ID,CHAR,XT273P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_LOC_HIS_K,ITEM_LOC_HIST_ID,CHAR,XM278P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_SQ_EST,ITEM_TYPE_CD,VARCHAR2,XM096P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_STK_LOC,ITEM_ID,CHAR,C1T100P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_STK_LOC,STK_LOC_CD,CHAR,C1T100S0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_TYPE,ITEM_TYPE_CD,VARCHAR2,XC123P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_TYPE_EQ,ITEM_TYPE_CD,VARCHAR2,XC078P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_TYPE_L,ITEM_TYPE_CD,VARCHAR2,XC540P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_ITEM_TYP_CHA,ITEM_TYPE_CD,VARCHAR2,XC122P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LANDLORD,ACCT_ID,CHAR,XM126S2,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,customer_ops,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LANDLORD,DESCR_UPR,VARCHAR2,XM126S3,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,Y,customer_ops,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LANDLORD,LL_ID,CHAR,XM126P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,Y,customer_ops,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LANDLORD_K,LL_ID,CHAR,XM505P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LANGUAGE,LANGUAGE_CD,CHAR,XC290P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LETTER_TMPL,LTR_TMPL_CD,CHAR,XC128P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LETTER_TMPL_L,LTR_TMPL_CD,CHAR,XC541P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LL_DETAIL,LL_ID,CHAR,XM129P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LL_DETAIL,SVC_TYPE_CD,VARCHAR2,XM129S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LOOKUP_FIELD,FIELD_NAME,CHAR,XC352P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LOOKUP_VAL,FIELD_NAME,CHAR,XC699P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,common,MEDIUM,Good candidate for equality or IN pre-filter.
CI_LOOKUP_VAL_L,FIELD_NAME,CHAR,XC353P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
