VIEW_OWNER,VIEW_NAME,REFERENCED_OWNER,REFERENCED_NAME,REFERENCED_TYPE
CISADM,CI_SV_ACCT_HST_VW,CISADM,CI_SA,TABLE
CISADM,CI_SV_ACCT_HST_VW,CISADM,CI_SEV_PROC,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_CHAR_TYPE,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_FK_REF,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_MD_TBL,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_DRLKEY,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_DRLKEY_TY,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_ENTRY,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_ENTRY_CHA,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_LOG,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_MSG_PARM,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_SRTKEY,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_SRTKEY_TY,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,CISADM,CI_TD_TYPE,TABLE
CISADM,CI_TD_ENTRY_OPEN_VW,PUBLIC,DUAL,SYNONYM
CISADM,CI_USR_ACC_GRP_VW,CISADM,CI_ACC_GRP_DAR,TABLE
CISADM,CI_USR_ACC_GRP_VW,CISADM,CI_DAR_USR,TABLE
CISADM,CI_WE_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_WE_ACCT_HST_VW,CISADM,CI_WO_EVT,TABLE
CISADM,CI_WE_ACCT_HST_VW,CISADM,CI_WO_PROC,TABLE
CISADM,CI_WO_ACCT_HST_VW,CISADM,CI_LOOKUP,VIEW
CISADM,CI_WO_ACCT_HST_VW,CISADM,CI_WO_PROC,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CALC_GRP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CALC_RULE_CRT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CALC_RULE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CL_CAT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_COMM_RTE_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CONT_MS_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CONT_RULE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CONT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CS_REQ_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CS_REQ_TYPE_SVC_CRIT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_CUST_REL_REQ_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_INITIATIVE_CRITERIA_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_INITIATIVE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_ISS_CTR_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_LEAD_EVT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_LTR_TMPL_REC_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_MKT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_MKT_PROV_CONFIG_OPT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_NTF_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PA_RQST_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_COMP_ELIG_CRIT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_COMP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_ELIG_CRIT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_RULE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROD_VER_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_PROV_CONFIG_OPT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_QUESTION_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_REPRESENTATIVE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_SERVICE_CAT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_SERVICE_CODE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_TOU_MAP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_TOU_MAP_TMPLT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,C1_TOU_MAP_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ACCT_MGMT_GR_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ACCT_REL_TYP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ACC_GRP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ADJ_CAN_RSN_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ADJ_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ADJ_TYP_PROF_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ALERT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ALG_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_ALG_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_AM_ACTIVITY_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_APAY_RT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_APAY_SRC_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_APPR_PROF_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_APREQ_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BANK_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BATCH_CTRL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BCHG_UP_XTYP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BF_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_CAN_RSN_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_CYC_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_MSG_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_PERIOD_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_RT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BILL_SEG_TYP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_BUD_PLAN_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_B_CHG_TMPLT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CAL_GL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CAL_WORK_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CAMPAIGN_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CASE_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CC_CL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CC_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CEVT_CAN_RSN_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CHAR_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CIS_DIVISION_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COLL_AGY_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COLL_CL_CNTL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COLL_CL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COLL_EVT_TYP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COLL_PROC_TM_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COL_REF_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CONSV_PROG_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CONT_QTY_TYP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COP_EVT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COP_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_COUNTRY_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CR_UNIT_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CURRENCY_CD_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CUST_CL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CUT_EVT_TYPE_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_CUT_PROC_TMP_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_DAR_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_DEBT_CL_L,TABLE
CISADM,CMS_ADMIN_CONFIG_VW,CISADM,CI_DEP_CL_L,TABLE
