KEYWORD_BUCKET,TABLE_NAME,MATCHED_COLUMN_COUNT,EXAMPLE_COLUMN
CUSTOMER,CI_CP_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_CR_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_CR_RAT_HIST,1,ACCT_ID
CUSTOMER,CI_CURR_CUST_VW,1,ACCT_ID
CUSTOMER,CI_DCL,1,ACCT_ID
CUSTOMER,CI_DEP_RVW,1,ACCT_ID
CUSTOMER,CI_DST_CODE_EFF,1,GL_ACCT
CUSTOMER,CI_FA_ACCT_HST_VW,1,ACCT_ID
CUSTOMER,CI_FA_STEP,1,ACCT_ID
CUSTOMER,CI_FREQ,1,PERIODS_PER_YEAR
CUSTOMER,CI_FT_GL,1,GL_ACCT
CUSTOMER,CI_LANDLORD,1,ACCT_ID
CUSTOMER,CI_LOOKUP_FIELD,1,OBJ_PROPERTY_NAME
CUSTOMER,CI_MATCH_EVT,1,ACCT_ID
CUSTOMER,CI_MD_AT_DTL,1,PROPERTY_NAME
