OWNER,SYNONYM_NAME,TABLE_OWNER,TABLE_NAME,DB_LINK
BATCHUSER,C1_CS_REQ_TYPE_ALG_PER_BUS,CISADM,C1_CS_REQ_TYPE_ALG_PER_BUS,
BATCHUSER,C1_CS_REQ_TYPE_CHAR,CISADM,C1_CS_REQ_TYPE_CHAR,
BATCHUSER,C1_CS_REQ_TYPE_CUST_CL,CISADM,C1_CS_REQ_TYPE_CUST_CL,
BATCHUSER,C1_CS_REQ_TYPE_L,CISADM,C1_CS_REQ_TYPE_L,
BATCHUSER,C1_CS_REQ_TYPE_PER_BUS,CISADM,C1_CS_REQ_TYPE_PER_BUS,
BATCHUSER,C1_CS_REQ_TYPE_QSTN_RELOBJ,CISADM,C1_CS_REQ_TYPE_QSTN_RELOBJ,
BATCHUSER,C1_CS_REQ_TYPE_QUESTION,CISADM,C1_CS_REQ_TYPE_QUESTION,
BATCHUSER,C1_CS_REQ_TYPE_QUESTION_REL,CISADM,C1_CS_REQ_TYPE_QUESTION_REL,
BATCHUSER,C1_CS_REQ_TYPE_REL_UPD,CISADM,C1_CS_REQ_TYPE_REL_UPD,
BATCHUSER,C1_CS_REQ_TYPE_SVC_CRIT,CISADM,C1_CS_REQ_TYPE_SVC_CRIT,
BATCHUSER,C1_CS_REQ_TYPE_SVC_CRIT_ALG,CISADM,C1_CS_REQ_TYPE_SVC_CRIT_ALG,
BATCHUSER,C1_CS_REQ_TYPE_SVC_CRIT_L,CISADM,C1_CS_REQ_TYPE_SVC_CRIT_L,
BATCHUSER,C1_CS_REQ_TYPE_SVC_CRIT_SATY,CISADM,C1_CS_REQ_TYPE_SVC_CRIT_SATY,
BATCHUSER,C1_CS_REQ_TYPE_SVC_CRIT_STOP,CISADM,C1_CS_REQ_TYPE_SVC_CRIT_STOP,
BATCHUSER,C1_CS_REQ_TYPE_SVC_LOC_BO,CISADM,C1_CS_REQ_TYPE_SVC_LOC_BO,
BATCHUSER,C1_CUST_REL_REQ,CISADM,C1_CUST_REL_REQ,
BATCHUSER,C1_CUST_REL_REQ_CHAR,CISADM,C1_CUST_REL_REQ_CHAR,
BATCHUSER,C1_CUST_REL_REQ_K,CISADM,C1_CUST_REL_REQ_K,
BATCHUSER,C1_CUST_REL_REQ_LOG,CISADM,C1_CUST_REL_REQ_LOG,
BATCHUSER,C1_CUST_REL_REQ_LOG_PARM,CISADM,C1_CUST_REL_REQ_LOG_PARM,
BATCHUSER,C1_CUST_REL_REQ_REL_OBJ,CISADM,C1_CUST_REL_REQ_REL_OBJ,
BATCHUSER,C1_CUST_REL_REQ_TYPE,CISADM,C1_CUST_REL_REQ_TYPE,
BATCHUSER,C1_CUST_REL_REQ_TYPE_CHAR,CISADM,C1_CUST_REL_REQ_TYPE_CHAR,
BATCHUSER,C1_CUST_REL_REQ_TYPE_L,CISADM,C1_CUST_REL_REQ_TYPE_L,
BATCHUSER,C1_ENRL_CONTDET,CISADM,C1_ENRL_CONTDET,
BATCHUSER,C1_ENRL_CONTDET_K,CISADM,C1_ENRL_CONTDET_K,
BATCHUSER,C1_INITIATIVE,CISADM,C1_INITIATIVE,
BATCHUSER,C1_INITIATIVE_CHAR,CISADM,C1_INITIATIVE_CHAR,
BATCHUSER,C1_INITIATIVE_CRITERIA,CISADM,C1_INITIATIVE_CRITERIA,
BATCHUSER,C1_INITIATIVE_CRITERIA_CHAR,CISADM,C1_INITIATIVE_CRITERIA_CHAR,
BATCHUSER,C1_INITIATIVE_CRITERIA_L,CISADM,C1_INITIATIVE_CRITERIA_L,
BATCHUSER,C1_INITIATIVE_L,CISADM,C1_INITIATIVE_L,
BATCHUSER,C1_INITIATIVE_LEAD_DEFN,CISADM,C1_INITIATIVE_LEAD_DEFN,
BATCHUSER,C1_INITIATIVE_LOG,CISADM,C1_INITIATIVE_LOG,
BATCHUSER,C1_INITIATIVE_LOG_PARM,CISADM,C1_INITIATIVE_LOG_PARM,
BATCHUSER,C1_INITIATIVE_REL_OBJ,CISADM,C1_INITIATIVE_REL_OBJ,
BATCHUSER,C1_INTV_DATA_GTT,CISADM,C1_INTV_DATA_GTT,
BATCHUSER,C1_ISS_CTR,CISADM,C1_ISS_CTR,
BATCHUSER,C1_ISS_CTR_CHAR,CISADM,C1_ISS_CTR_CHAR,
