table_name,column_name,data_type,index_name,column_position,index_type,index_status,index_visibility,index_partitioned,index_uniqueness,is_leading_column,is_valid_visible,is_date_like,in_domain_metadata,workstreams,prefilter_priority,design_guidance
CI_BILL_RVW_SCH,BILL_ID,CHAR,XT219P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_RVW_SCH,BATCH_CD,CHAR,XT219S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_RVW_SCH,BILL_RVW_DT,DATE,XT219P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,Y,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_RVW_SCH,BATCH_CD,CHAR,XT219P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_RVW_SCH,BILL_RVW_DT,DATE,XT219S1,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,Y,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_SA,BILL_ID,CHAR,XT046P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SA,SA_ID,CHAR,XT046S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SA,SA_ID,CHAR,XT046P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_SCNR,BILL_SCNR_ID,CHAR,XT173P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SCNR,SA_ID,CHAR,XT173S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SCNR_K,BILL_SCNR_ID,CHAR,XT510P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SCNR_K,ENV_ID,NUMBER,XT510P0,2,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_SCNR_SQ,BILL_SCNR_ID,CHAR,XT174P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SCNR_SQ,SEQNO,NUMBER,XT174P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BILL_SEG_TYP,BS_INFO_ALG_CD,CHAR,CC047S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SEG_TYP,BILL_SEG_TYPE_CD,CHAR,XC047P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SEG_TYP_L,BILL_SEG_TYPE_CD,CHAR,XC500P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BILL_SEG_TYP_L,LANGUAGE_CD,CHAR,XC500P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_GRP,BILL_PRT_GRP_CD,CHAR,XM406P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BPRT_GRP,ACCT_ID,CHAR,XM406S1,1,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BPRT_GRP,EFFDT,DATE,XM406S1,2,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,Y,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_GRP,EFF_STATUS,CHAR,XM406S1,3,NORMAL,VALID,VISIBLE,NO,NONUNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_GRP_K,BILL_PRT_GRP_CD,CHAR,XM501P0,1,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BPRT_GRP_K,ENV_ID,NUMBER,XM501P0,2,IOT - TOP,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_SGRP_SA,SA_ID,CHAR,XM408P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
CI_BPRT_SGRP_SA,BILL_PRT_GRP_CD,CHAR,XM408P0,2,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_SGRP_SA,BILL_PRT_SUBGRP_CD,CHAR,XM408P0,3,NORMAL,VALID,VISIBLE,NO,UNIQUE,N,Y,N,N,,LOW,Not a leading indexed column; avoid as first pre-filter predicate.
CI_BPRT_SUBGRP,BILL_PRT_GRP_CD,CHAR,XM407P0,1,NORMAL,VALID,VISIBLE,NO,UNIQUE,Y,Y,N,N,,MEDIUM,Good candidate for equality or IN pre-filter.
