OWNER,TABLE_NAME,PARTITION_NAME,OBJECT_TYPE,NUM_ROWS,BLOCKS,AVG_ROW_LEN,SAMPLE_SIZE,LAST_ANALYZED,STALE_STATS,GLOBAL_STATS,USER_STATS
CISADM,D1_TOU_MAP_TYPE_L,,TABLE,4,8,52,4,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_TOU_MAP_TYPE_TMPLT,,TABLE,0,0,0,0,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_UOM,,TABLE,31,4,58,31,2026-02-04 05:00:38,NO,YES,NO
CISADM,D1_UOM_L,,TABLE,62,8,31,62,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_US,,TABLE,4298,244,374,4298,2026-02-03 17:47:48,NO,YES,NO
CISADM,D1_USAGE,,TABLE,27704,14177,2977,6926,2026-05-22 05:02:22,NO,YES,NO
CISADM,D1_USAGE_CAL_TYPE_CTRL,,TABLE,0,0,0,0,2026-02-03 17:47:51,NO,YES,NO
CISADM,D1_USAGE_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:51,NO,YES,NO
CISADM,D1_USAGE_CTRL,,TABLE,1271,31,67,1271,2026-02-03 17:47:51,NO,YES,NO
CISADM,D1_USAGE_EXCP,,TABLE,140339,6272,164,140339,2026-06-06 05:00:37,NO,YES,NO
CISADM,D1_USAGE_EXCP_CHAR,,TABLE,0,0,0,0,2026-02-03 17:47:53,NO,YES,NO
CISADM,D1_USAGE_EXCP_K,,TABLE,140335,,20,140335,2026-02-03 17:47:53,NO,YES,NO
CISADM,D1_USAGE_EXCP_PARM,,TABLE,413386,4864,48,413386,2026-02-03 17:47:53,NO,YES,NO
CISADM,D1_USAGE_EXCP_TYPE,,TABLE,4,4,85,4,2026-02-04 05:00:39,NO,YES,NO
