OWNER,TABLE_NAME,INDEX_NAME,UNIQUENESS,INDEX_TYPE,STATUS,VISIBILITY,TABLESPACE_NAME,PARTITIONED,LAST_ANALYZED
CISADM,D1_ACTIVITY_IDENTIFIER,D1T330S1,NONUNIQUE,FUNCTION-BASED NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:03
CISADM,D1_ACTIVITY_K,D1T328P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:21:55
CISADM,D1_ACTIVITY_LOG,D1T321P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:10:31
CISADM,D1_ACTIVITY_LOG,D1T321S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:10:26
CISADM,D1_ACTIVITY_LOG,D1T321S2,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:10:29
CISADM,D1_ACTIVITY_LOG_PARM,D1T322P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:07:37
CISADM,D1_ACTIVITY_REL,D1T323P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:06
CISADM,D1_ACTIVITY_REL,D1T323S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:06:06
CISADM,D1_ACTIVITY_REL_OBJ,D1T324P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-27 02:22:33
CISADM,D1_ACTIVITY_REL_OBJ,D1T324S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-27 02:22:36
CISADM,D1_ACTIVITY_STAT_MV,D1T432P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:18:52
CISADM,D1_ACTIVITY_TYPE,D1C325P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:28
CISADM,D1_ACTIVITY_TYPE_CHAR,D1C327P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:00
CISADM,D1_ACTIVITY_TYPE_CHAR,D1C327S0,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:00
CISADM,D1_ACTIVITY_TYPE_DIV,D1C636P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:11
CISADM,D1_ACTIVITY_TYPE_FLD_TASK_TYPE,D1C631P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:30
CISADM,D1_ACTIVITY_TYPE_L,D1C326P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-16 02:05:26
CISADM,D1_ADS,D1T589P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:09:12
CISADM,D1_ADS_IDENTIFIER,D1T590P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:11:09
CISADM,D1_ADS_K,D1T591P0,UNIQUE,IOT - TOP,VALID,VISIBLE,CISTS_01,NO,2026-01-07 21:31:57
CISADM,D1_ADS_LOG,D1T592P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:14:44
CISADM,D1_ADS_LOG_PARM,D1T593P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:12:41
CISADM,D1_ADS_TYPE,D1C587P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:25:57
CISADM,D1_ADS_TYPE_L,D1C588P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:01
CISADM,D1_AGG_GROUP,D1C458P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:01
CISADM,D1_AGG_GROUP_CHAR,D1C460P0,UNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:40
CISADM,D1_AGG_GROUP_CHAR,D1C460S1,NONUNIQUE,NORMAL,VALID,VISIBLE,CISTS_01,NO,2026-01-08 02:26:40
