DEVICE_CONFIG_EFFECT_DTTM,ASSET_CREATION_DT,SERIAL_NUMBER,BILL_CYCLE,CURRENT_DISPOSITION,CURRENT_DISP_DT,MTR_SPEC,SPID,SP_TYPE,MTR_SITE_ID,PREM_ID,PREM_ADDR,PIN,CURRENT_LOC_ORG_ID
2005-04-01-12.04.00,3/31/05,29472477,02,NI-INSTORE,7/1/25,SM-DISC-B58,956509134400,WT-RES,11370-WT-000,3365320815,31 CHERRY LN,FDL-15-17-12-33-525-00,
2005-04-05-12.04.00,4/4/05,29472667,02,NI-INSTORE,6/26/25,SM-DISC-B58,355228643100,WT-RES,20456-WT-000,8887033672,518 MORRIS ST,FDL-15-17-15-34-795-00,
2005-04-27-12.04.00,4/26/05,29472712,01,NI-INSTORE,9/23/25,SM-DISC-B58,586605654500,WT-RES,16792-WT-000,1741477690,268 15TH ST,FDL-15-17-14-33-673-00,
2005-05-12-12.05.00,5/11/05,29472691,02,NI-INSTORE,7/3/25,SM-DISC-B58,642660784700,WT-RES,5802-WT-000,8826045464,36 N LINCOLN AVE,FDL-15-17-10-33-588-00,
2005-05-23-12.05.00,5/22/05,29472748,02,NI-INSTORE,7/29/25,SM-DISC-B58,476635603600,WT-RES,10244-WT-000,0261486634,10 COTTAGE AVE,FDL-15-17-11-34-781-00,
2005-05-25-12.05.00,5/24/05,18914838,02,NI-INSTORE,7/15/25,SM-DISC-B58,622941087700,WT-RES,13302-WT-000,5678556223,103 S ROYAL AVE,FDL-15-17-14-11-009-00,
2005-05-25-12.05.00,5/24/05,29472766,02,NI-INSTORE,7/15/25,SM-DISC-B58,644008628900,WT-RES,13366-WT-000,6371152388,91 S RESERVE AVE,FDL-15-17-14-11-041-00,
2005-05-25-12.05.00,5/24/05,29472794,02,NI-INSTORE,7/15/25,SM-DISC-B58,405794996200,WT-RES,10870-WT-000,5341008675,18 S SALLIE AVE,FDL-15-17-11-44-836-01,
2005-05-26-12.05.00,5/25/05,29472730,02,NI-INSTORE,7/15/25,SM-DISC-B58,587291861800,WT-RES,10802-WT-000,7108340311,30 S ROYAL AVE,FDL-15-17-11-44-802-00,
2005-06-02-12.06.00,6/1/05,29472785,02,NI-INSTORE,7/23/25,SM-DISC-B58,205614912100,WT-RES,10956-WT-000,6678442642,47 S KAYSER ST,FDL-15-17-11-44-879-00,
2005-06-03-12.06.00,6/2/05,29472708,03,NI-INSTORE,5/20/25,SM-DISC-B58,482963544300,WT-RES,3562-WT-000,7845356548,383 MARQUETTE ST,FDL-15-17-10-11-102-00,
2005-06-29-12.06.00,6/28/05,29472858,02,NI-INSTORE,7/30/25,SM-DISC-B58,039480772500,WT-RES,10846-WT-000,1890366027,45 N SALLIE AVE,FDL-15-17-11-44-824-00,
