domain_name,workstream,join_tree_id,join_sequence,join_type,left_table,right_table,join_expression
Deposit_Control___Domain,Cashiering,JoinTree_2,11,leftOuter,CI_DEP_CTL_1,CI_TNDR_DEP,CI_DEP_CTL_1.DEP_CTL_ID == CI_TNDR_DEP.DEP_CTL_ID
Deposit_Control___Domain,Cashiering,JoinTree_2,12,leftOuter,CI_TNDR_DEP,CI_BANK_L,CI_TNDR_DEP.BANK_CD == CI_BANK_L.BANK_CD and CI_BANK_L.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_2,13,inner,CI_DEP_CTL_1,CI_LOOKUP_VAL_L_3,CI_DEP_CTL_1.DEP_CTL_STATUS_FLG == CI_LOOKUP_VAL_L_3.FIELD_VALUE and CI_LOOKUP_VAL_L_3.FIELD_NAME == 'DEP_CTL_STATUS_FLG' and CI_LOOKUP_VAL_L_3.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_2,14,inner,CI_DEP_CTL_1,CI_LOOKUP_VAL_L_4,CI_DEP_CTL_1.TNDR_SRCE_TYPE_FLG == CI_LOOKUP_VAL_L_4.FIELD_VALUE and CI_LOOKUP_VAL_L_4.FIELD_NAME == 'TNDR_SRCE_TYPE_FLG' and CI_LOOKUP_VAL_L_4.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_2,15,leftOuter,CI_TNDR_DEP,CI_BANK_ACCOUNT_L,CI_TNDR_DEP.BANK_CD == CI_BANK_ACCOUNT_L.BANK_CD and CI_TNDR_DEP.BANK_ACCT_KEY == CI_BANK_ACCOUNT_L.BANK_ACCT_KEY and CI_BANK_ACCOUNT_L.LANGUAGE_CD == 'ENG'
Deposit_Control___Domain,Cashiering,JoinTree_2,16,leftOuter,CI_DEP_CTL_1,SC_USER_4,CI_DEP_CTL_1.USER_ID == SC_USER_4.USER_ID
Deposit_Control___Domain,Cashiering,JoinTree_2,17,leftOuter,CI_DEP_CTL_1,SC_USER_5,CI_DEP_CTL_1.BALANCED_USER_ID == SC_USER_5.USER_ID
Pay_Plan___Domain,Cashiering,JoinTree_1,1,inner,CI_PP,CI_PAY_METH_L,CI_PP.PAY_METH_CD == CI_PAY_METH_L.PAY_METH_CD and CI_PAY_METH_L.LANGUAGE_CD == 'ENG'
Pay_Plan___Domain,Cashiering,JoinTree_1,2,leftOuter,CI_PP,CI_LOOKUP_VAL_L,CI_PP.PP_CAN_RSN_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'PP_CAN_RSN_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Pay_Plan___Domain,Cashiering,JoinTree_1,3,inner,CI_PP,CI_LOOKUP_VAL_L_1,CI_PP.PP_STAT_FLG == CI_LOOKUP_VAL_L_1.FIELD_VALUE and CI_LOOKUP_VAL_L_1.FIELD_NAME == 'PP_STAT_FLG' and CI_LOOKUP_VAL_L_1.LANGUAGE_CD == 'ENG'
Pay_Plan___Domain,Cashiering,JoinTree_1,4,inner,CI_PP,CI_PP_TYPE_L,CI_PP.PP_TYPE_CD == CI_PP_TYPE_L.PP_TYPE_CD and CI_PP_TYPE_L.LANGUAGE_CD == 'ENG'
Pay_Plan___Domain,Cashiering,JoinTree_1,5,inner,CI_PP,SC_USER,CI_PP.USER_ID == SC_USER.USER_ID
Pay_Plan___Domain,Cashiering,JoinTree_1,6,inner,CI_PP,CI_ACCT_PER,CI_PP.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Pay_Plan___Domain,Cashiering,JoinTree_1,7,inner,CI_PP,CI_ACCT_PER_1,CI_PP.PAYOR_ACCT_ID == CI_ACCT_PER_1.ACCT_ID and CI_ACCT_PER_1.MAIN_CUST_SW == 'Y'
Pay_Plan___Domain,Cashiering,JoinTree_1,8,leftOuter,CI_PP,SC_USER_1,CI_PP.LAST_STAT_USER_ID == SC_USER_1.USER_ID
Pay_Plan___Domain,Cashiering,JoinTree_1,9,leftOuter,CI_PP,CI_THRD_PTY_L,CI_PP.THRD_PTY_PAYOR_CD == CI_THRD_PTY_L.THRD_PTY_PAYOR_CD and CI_THRD_PTY_L.LANGUAGE_CD == 'ENG'
Pay_Plan___Domain,Cashiering,JoinTree_1,10,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM' and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Pay_Plan___Domain,Cashiering,JoinTree_1,11,inner,CI_ACCT_PER_1,CI_PER_NAME_1,CI_ACCT_PER_1.PER_ID == CI_PER_NAME_1.PER_ID and CI_PER_NAME_1.NAME_TYPE_FLG == 'PRIM' and CI_ACCT_PER_1.MAIN_CUST_SW == 'Y'
Payment_Header___Domain,Cashiering,JoinTree_1,1,inner,CI_PAY,CI_PAY_EVENT,CI_PAY.PAY_EVENT_ID == CI_PAY_EVENT.PAY_EVENT_ID
Payment_Header___Domain,Cashiering,JoinTree_1,2,leftOuter,CI_PAY,CI_PAY_CAN_RSN_L,CI_PAY.CAN_RSN_CD == CI_PAY_CAN_RSN_L.CAN_RSN_CD and CI_PAY_CAN_RSN_L.LANGUAGE_CD == 'ENG'
Payment_Header___Domain,Cashiering,JoinTree_1,3,leftOuter,CI_PAY,CI_MATCH_TYPE_L,CI_PAY.MATCH_TYPE_CD == CI_MATCH_TYPE_L.MATCH_TYPE_CD and CI_MATCH_TYPE_L.LANGUAGE_CD == 'ENG'
Payment_Header___Domain,Cashiering,JoinTree_1,4,inner,CI_PAY,CI_LOOKUP_VAL_L,CI_PAY.PAY_STATUS_FLG == CI_LOOKUP_VAL_L.FIELD_VALUE and CI_LOOKUP_VAL_L.FIELD_NAME == 'PAY_STATUS_FLG' and CI_LOOKUP_VAL_L.LANGUAGE_CD == 'ENG'
Payment_Header___Domain,Cashiering,JoinTree_1,5,inner,CI_PAY,CI_ACCT_PER,CI_PAY.ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Payment_Header___Domain,Cashiering,JoinTree_1,6,inner,CI_ACCT_PER,CI_PER_NAME,CI_ACCT_PER.PER_ID == CI_PER_NAME.PER_ID and CI_PER_NAME.NAME_TYPE_FLG == 'PRIM' and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
Payment_Tender___Domain,Cashiering,JoinTree_1,1,inner,CI_PAY_TNDR,CI_PAY_EVENT,CI_PAY_TNDR.PAY_EVENT_ID == CI_PAY_EVENT.PAY_EVENT_ID
Payment_Tender___Domain,Cashiering,JoinTree_1,2,inner,CI_PAY_TNDR,CI_TENDER_TYPE_L,CI_PAY_TNDR.TENDER_TYPE_CD == CI_TENDER_TYPE_L.TENDER_TYPE_CD and CI_TENDER_TYPE_L.LANGUAGE_CD == 'ENG'
Payment_Tender___Domain,Cashiering,JoinTree_1,3,inner,CI_PAY_TNDR,CI_ACCT_PER,CI_PAY_TNDR.PAYOR_ACCT_ID == CI_ACCT_PER.ACCT_ID and CI_ACCT_PER.MAIN_CUST_SW == 'Y'
