owner,view_name,text_length,ddl_chars,ddl_file,select_file,status
CISADM,CI_FT_PROC_VW,95,229,ddl/CI_FT_PROC_VW.sql,view_select_logic/CI_FT_PROC_VW.sql,ok
CISADM,CI_INSTALLATION,1495,2604,ddl/CI_INSTALLATION.sql,view_select_logic/CI_INSTALLATION.sql,ok
CISADM,CI_ITEEVI_SP_VW,215,407,ddl/CI_ITEEVI_SP_VW.sql,view_select_logic/CI_ITEEVI_SP_VW.sql,ok
CISADM,CI_ITEM_CHTY_VW,254,437,ddl/CI_ITEM_CHTY_VW.sql,view_select_logic/CI_ITEM_CHTY_VW.sql,ok
CISADM,CI_ITEM_SP_E_VW,194,377,ddl/CI_ITEM_SP_E_VW.sql,view_select_logic/CI_ITEM_SP_E_VW.sql,ok
CISADM,CI_LOOKUP,287,484,ddl/CI_LOOKUP.sql,view_select_logic/CI_LOOKUP.sql,ok
CISADM,CI_MR_RTEGEN_VW,165,303,ddl/CI_MR_RTEGEN_VW.sql,view_select_logic/CI_MR_RTEGEN_VW.sql,ok
CISADM,CI_MR_STGUP2_VW,139,298,ddl/CI_MR_STGUP2_VW.sql,view_select_logic/CI_MR_STGUP2_VW.sql,ok
CISADM,CI_MR_STG_UP_VW,231,415,ddl/CI_MR_STG_UP_VW.sql,view_select_logic/CI_MR_STG_UP_VW.sql,ok
CISADM,CI_MR_ST_EXC_VW,645,1068,ddl/CI_MR_ST_EXC_VW.sql,view_select_logic/CI_MR_ST_EXC_VW.sql,ok
CISADM,CI_MR_VW,110,252,ddl/CI_MR_VW.sql,view_select_logic/CI_MR_VW.sql,ok
CISADM,CI_MTR_CHTY_VW,253,434,ddl/CI_MTR_CHTY_VW.sql,view_select_logic/CI_MTR_CHTY_VW.sql,ok
CISADM,CI_MTR_CNFG2_VW,191,370,ddl/CI_MTR_CNFG2_VW.sql,view_select_logic/CI_MTR_CNFG2_VW.sql,ok
